Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
Noah Kahan	RU.O4.GS.A1.K.EI4.H.EN3
Miles Davis	M.AI4.GS.OU3.S.D.EI1.F.E5.S.IH5
謝安琪	XI.IE4.GS.AN1.QI.I2
Two Steps From Hell	TU.U4.S.DI.IE4.P.S.F.R.A4.M.H.EI4.GS.OU3
Paloma Faith	P.A1.L.OU5.M.A3.F.EI4.S
RAYE	RU.EI4
Fleetwood Mac	F.I4.W.O1.M.A5.W.O1.M.EI3.K.E5
X JAPAN	GS.EI2.K.E5.SH.IH2.JI.A1.P.AN4
陳一郎	CH.EN2.Y.I1.L.AG2
Roxette	LU.O2.S.AI4.T.E4
Gregory Porter	GU.EI1.G.E1.R.I1.P.OU1.T.ER3
G.NA	JI.I1.N.A3
Belle and Sebastian	BI.AO4.GS.E3.IN5.D.S.E3.B.A1.S.TI.I3.GS.EN3
Nightwish	N.AI1.T.W.I4.XU.YU3
Years & Years	Y.I1.YU.IE4.S.IH5.GS.EN1.L.E5.Y.I4.ER3.S
ZM Taiwan	F.I4.GS.EI4.M.T.AI1.W.AN4
The Rolling Stones	D.E5.R.OU1.LI.IG3.S.IH5.DU.OG4.S.IH5
鄭承煥	ZH.EG4.CH.EG2.HU.AN4
Wham!	HU.EI4.M
Khatia Buniatishvili	K.EI4.K.I1.Y.A3.BU.U4.NI.AG2.JI.IE1.S.IH5.BU.U4.Y.OU4.L.EI3
Gai	G.AI4
Led Zeppelin	L.EI2.D.E5.L.AI1.P.U3.LI.IG3
Dan Gibson's Solitudes	D.AN1.D.E5.JU.YU4.CH.IH2.SH.EG1.SH.OU3.LI.I4.TU.U3.D.E5.S
蘇芮	SU.U1.RU.EI4
San E	S.AN1.Y.I4
黃立行	HU.AG2.LI.I4.XI.IG2
鄭容和	ZH.EG4.R.OG2.H.E2
Future	F.I1.W.U1.CH.ER3
Relaxing Orgel	YU.YU3.L.AI1.S.IH5.Y.IN1.GS.OU1.JI.IE3.L.OU5
Olly Murs	W.EG1.LI.I2.M.ER3.S
Passion Pit	P.EI4.XU.AN3.PI.IE4.T
伍佰	W.U2.B.AI3
Kenny G	K.EI2.NI.I4.JI.IN4
Paul Desmond	P.OU4.DI.IE1.S.IH5.M.EN3
Mariah Carey	M.A3.RU.A1.Y.A1.K.EI4.W.E3
Madonna	M.A2.D.EG1.N.A3
鄭基高	ZH.EG4.JI.I1.G.AO1
Tom Odell	T.A4.MU.U5.D.E5.GS.OU3
朴志敏	P.U3.ZH.IH4.MI.IN3
Lifehouse	L.AI4.F.U5.H.AO4.S.T
小関佳宏	XI.AO3.GU.AN1.JI.A1.HU.OG2
The Verve	R.E4.F.ER5.IH4.D.E5
HUSH	H.A4.XU.YU3
Theodore Shapiro	S.I1.GS.ER4.D.OU1.L.EI4.XI.A1.PI.I1.GS.OU3
脫拉庫	TU.O1.L.A1.KU.U4
J Soul Brothers III	ZH.EI1.S.OU4.BU.U4.L.A1.DI.I5.ZHU.U1.Y.I5
deadmau5	DI.IE1.M.AO4.S.IH5
The Bangles	R.E5.BI.EI1.G.OU4.S
Suchmos	S.AN1.QU.YU5.M.AO4.S
Sing Street	XI.IG4.S.IH5.ZHU.U1.Y.I4.T
No Doubt	N.OU4.D.A4.T
張大光	ZH.AG1.D.A4.GU.AG1
Blonde	B.EN3.L.AG4.D.E5
New Empire	NI.OU1.GS.EN1.P.L.AI4.GS.ER3
Mogwai	M.A5.W.AI4
Vampire Weekend	F.EI1.P.AI4.GS.ER3.W.I4.K.AN4.D.E5
Sheryl Crow	XI.IE1.R.OU3.K.R.OU4
Missy Elliott	NI.I1.XI.I1.Y.AO1.LI.I3.Y.OU3.CH.EG2
Angus & Julia Stone	GS.EN1.G.E5.S.IH5.ZHU.U1.LI.I5.GS.A3.S.IH5.DU.OG4
SE7EN	SH.E4.XI.IE4.P.L.EI1.L
喬幼	QI.AO2.Y.OU4
光澤	GU.AG1.Z.E2
Charice	XU.IE2.R.I3.S
周筆暢	ZH.OU1.BI.I3.CH.AG4
Samantha Gongol	S.A3.M.EI2.SH.A4.G.AG1.G.OU3
Scorpions	S.GU.O1.PI.I3.GS.EN3.S
Miliyah	MI.I2.LI.I3.Y.A4
Chad Lawson	QU.IE1.D.E5.L.AO2.S.EN3
Fetty Wap	F.EI1.TI.I4.W.A4.P.E5
李克勤	LI.I3.K.E4.QI.IN2
Barbra Streisand	B.A1.BU.RU.A3.S.ZHU.AI1.S.EN3
Superfly	SU.U1.P.ER5.F.L.AI4
Orgel Sound J-Pop	GS.OU1.JI.IE2.GS.ER4.S.AO1.ZH.EI1.P.A4.R.EN2
MGMT	GS.EI1.M.JI.I4.GS.EI1.M.TI.I4
Thelonious Monk	SHU.EI2.L.OU4.NI.I3.Y.A3.S.IH5.M.EG4.K.E5
Chance the Rapper	QU.AN2.S.IH1.Z.E5.RU.EI4.P.ER3
秀蘭瑪雅	XI.OU4.L.AN2.M.A2.Y.A3
Duffy	D.A4.F.I3
Petit Biscuit	P.EI2.TI.I1.BI.I1.S.IH5.K.A3.T.ER5
Toby Fox	T.OU1.BI.I3.F.A4.K.E5.S.T
何維健	H.E2.W.EI2.JI.AN4
貴族樂團	GU.EI4.ZU.U2.YU.IE4.TU.AN2
邱勝翊	QI.OU1.SH.EG4.Y.I4
GRAY	GU.U1.RU.EI4
Alice Sara Ott	GS.A1.L.E3.S.S.AN1.RU.A3.GS.A5.T.ER5
Tove Styrke	T.OU1.F.U5.S.IH5.D.AI1.R.K
GTA	JI.I2.TI.I4.GS.EI4
Jamie xx	ZH.EI1.MI.I3.GS.EI2.K.S.IH5.T.AI4.K.E5.S
Stereophonics	S.DI.IE4.R.Y.OU3.F.OU1.L.EI3.K.E5.S
湯瑪斯·紐曼	T.AG1.M.A3.SH.IH1.NI.OU3.M.AI4
The Him	LI.OU2.F.Y.IN4
Richard Clayderman	YU.YU2.QI.A4.K.L.EI1.D.EI1.M.A3
Perfume	B.AO3.BI.IG4
羅大佑	LU.O2.D.A4.Y.OU4
Daughtry	D.OU1.QU.YU3
Santana	S.AN3.T.A1.N.A3
趙雷	ZH.AO4.L.EI2
Han Dong Geun	H.AG1.DU.OG1.G.EI3.W.U3.Y.I2
那我懂你意思了	N.A4.W.O3.DU.OG3.NI.I3.Y.I4.S.IH5.L.E5
Snow Patrol	SH.IH2.NU.O1.P.EI4.JI.OU3
慢慢說樂團	M.AN4.M.AN4.SHU.O1.YU.IE4.TU.AN2
Fitz and The Tantrums	F.EI1.S.IH5.GS.EN5.D.E5.TI.AN1.CHU.A4.M.S.IH5
Skylar Grey	S.G.AI1.L.ER3.G.RU.EI4
Miguel	M.EI2.G.AI1.GS.OU5
Trey Songz	CHU.EI4.SU.OG4.Z
Hayley Westenra	GS.EI1.LI.I3.W.EI1.S.IH5.D.EG1.LI.I4.L.A3
梅豔芳	M.EI2.Y.AN4.F.AG1
Nirvana	N.EG2.M.A1.N.A3
范曉萱	F.AN4.XI.AO3.XU.AN1
帕華洛帝	P.A4.HU.A2.LU.O4.DI.I4
馬克曼西納	M.A3.K.E4.M.AN4.XI.I1.N.A4
will.i.am	W.EI1.GS.AI2.GS.EN1.MU.U5
A$AP Ferg	GS.EI1.S.AI4.F.GS.ER3
PRETTYMUCH	F.EI1.TI.I3.M.A4.QU.YU5
JJ Project	JU.YU2.JI.IE1.F.A1.JI.IE3.T
Alexandre Tharaud	GS.A3.LI.I3.K.S.AN1.D.R.E3.D.A1.R.OU3
Tony Bennett	TU.OG1.NI.I3.BI.AN1.N.E3.T.E5
ENERGY	GS.EI1.N.E3.JI.I3
George Winston	JI.OU4.JU.YU3.W.I1.N.S.D.EN3
李玉璽	LI.I3.YU.YU4.XI.I3
大塚愛	D.A4.ZHU.OG3.GS.AI4
黎明	LI.I2.MI.IG2
Flume	RU.UN4
Relaxing Piano	LI.I3.LI.IE4.S.IH5.IG3.PI.I3.Y.IE1.N.OU3
董運昌	DU.OG3.YU.IN4.CH.AG1
帕爾曼	P.A4.GS.ER3.M.AN4
Natasha Bedingfield	N.A4.T.A1.XI.A4.D.EI1.M.DI.IG1.LI.OU4.D.E5
Goose house	GU.U1.S.IH5.H.AO4.S.IH5
馬友友	M.A3.Y.OU2.Y.OU3
Britney Spears	BU.U1.LI.I4.NI.I3.S.IH5.BI.I4.ER3.S.IH5
沉睡	CH.EN2.SHU.EI4
優客李林	Y.OU1.K.E4.LI.I3.LI.IN2
The Kiboomers	R.E5.K.E3.BU.U1.M.EN2.R.E5.S.IH5
閃靈	SH.AN3.LI.IG2
Ballet Dance Jazz J. Company	BI.EI2.GS.A1.L.EI1.DI.AN2.S.JI.IE1.S.ZH.EI1.K.AG1.F.EN3.NI.I3
JOY	JI.OU1.Y.I3
Mary J. Blige	MI.IE1.R.IH3.ZH.EI2.B.L.AI4.JU.YU3
miwa	MI.I3.W.A1
Spice Girls	S.B.AI2.S.IH5.G.E4.R.OU4.S
蔡佩軒	C.AI4.P.EI4.XU.AN1
RAIN	RU.EI4
Stevie Wonder	S.DI.I1.F.I3.W.AN1.D.ER3
米津玄師	MI.I3.JI.IN1.XU.AN2.SH.IH1
Lil Uzi Vert	LI.I2.Y.OU3.W.U3.S.I1.B.ER3.T
Elvis Presley	GS.EI2.L.OU5.BI.I3.SH.IH4.P.L.E5.S.D.EI4
椎名林檎	ZU.EI4.MI.I3.MI.IG2.QI.IG2
Christina Grimmie	KU.EI4.S.IH5.TI.IN1.N.A3.G.R.I1.MI.I3
Jamie Cullum	JI.EI1.MI.I1.K.A1.L.EN3
HIRAI DAI	Y.I2.RU.EI5.GS.AI4.D.AI4
21 Savage	GS.ER4.SH.IH2.Y.I1.S.A1.BI.I3.JU.YU3
筷子兄弟	KU.AI4.Z.IH5.XI.OG1.DI.I4
BewhY	BI.I3.W.AI4.Y.I3
Bill Evans Trio	BI.EI2.GS.OU5.GS.A1.F.EN3.S.IH5.CU.EI4.GS.OU5
Carrie Underwood	K.IE1.LI.I3.GS.AN1.D.ER3.W.U4.D
關詩敏	GU.AN1.SH.IH1.MI.IN3
Above & Beyond	GS.ER4.B.A4.F.U5.XI.IE3.GS.EI1.M.BI.I3.Y.AG4
臺灣福音書房	T.AI2.W.AN1.F.U2.Y.IN1.SHU.U1.F.AG2
Seal	S.I4.GS.OU3
新垣結衣	XI.IN1.YU.AN2.JI.IE2.Y.I1
MoonMoon	W.U1.RU.O4
凱瑟琳‧詹金斯	K.AI3.S.E4.LI.IG2.ZH.AN1.JI.IN1.S.IH1
睡眠音楽の巨匠	SHU.EI4.MI.AN2.Y.IN1.Y.IE4.R.OG2.JU.YU4.JI.AG4
Gavin DeGraw	G.A1.F.EN3.DI.IE4.GU.U1.R.OU3
Jaden Smith	ZH.EI1.D.EN3.S.IH5.MI.I4.S.IH5
Sleeping At Last	S.IH5.LI.I1.PI.IG1.GS.EI2.L.AI4.S.T
蘇志燮	SU.U1.ZH.IH4.XI.IE4
Kevin Gates	K.IE4.F.EN3.G.EI3.CH.IH5
Björk	BI.I4.Y.AO1.GS.ER4.K
Slipknot	S.DI.I3.K.N.A3.T.E3
Nico & Vinz	N.EI4.K.OU3.W.EI4.M.S.IH5
Eurythmics	Y.OU2.RU.EI5.S.IH5.M.EI3.K.E5.S
Rockabye Baby!	RU.A4.K.E3.B.AI3.BI.EI1.BI.I3
藍心湄	L.AN2.XI.IN1.M.EI2
趙詠華	ZH.AO4.Y.OG3.HU.A2
Emil Gilels	Y.I2.MI.OU3.DI.I1.LI.OU3.S
Stars	S.IH5.DU.O4.GS.ER3
Clazziquai Project	K.L.A4.XI.I1.KU.AI4.P.L.A1.JI.A3
Grace	GU.U1.RU.EI4.S.IH5
Maggie Rogers	M.EI1.G.IH3.RU.O1.G.E3.S.IH5
李承哲	LI.I3.CH.EG2.ZH.E2
謝欣芷	XI.IE4.XI.IN1.ZH.IH3
Tobu	T.OU1.BU.U4
Boyz II Men	BU.O2.Y.I4.S.TU.U3.M.EI4.L
邰正宵	T.AI2.ZH.EG4.XI.AO1
Pet Shop Boys	PI.IE4.T.SH.A4.P.BU.O4.Y.I4.S.IH5
Jesse McCartney	JI.IE1.XI.I1.M.A3.K.A1.D.EG3.NI.I3
亨利·傑克曼	H.EG1.LI.I4.JI.IE2.K.E5.M.AN4
Cyndi Lauper	XI.IN1.DI.I3.LU.O1.P.ER3
倫納德·伯恩斯坦	R.EN2.N.A4.D.E5.BU.O2.GS.EN1.S.IH1.T.AN3
10th Anniversary Concert Cast of Les Misérables	T.EI4.S.IH5.GS.EI2.NI.IE1.RU.EI1.XI.IE1.F.I4.K.AG1.S.E5.K.A1.S.E5.GS.O3.GU.U1.L.AI2.SH.IH5.MI.I1.S.AI4.D.E5.M.OU4.S
Jean-Guihen Queyras	JI.A1.K.I4.GS.EN1.K.IE1.RU.A3
The Pretty Reckless	D.E5.P.LI.I1.TI.I3.RU.EI1.K.L.E5.S
SOYOU	SH.OU1.Y.OU3
Snakehips	S.IH3.N.AI4.K.H.EI1.P.S
無印良品	W.U2.Y.IN4.LI.AG2.PI.IN3
Every Little Thing	GS.EI1.F.U3.LI.I3.LI.I1.T.OU3.DI.IG4
DEAMN	DI.I1.Y.I1.GS.EI1.GS.EI2.MU.U5.GS.EN1
安德魯·勞埃德·韋伯	GS.AN1.D.E5.MI.IE4.L.AO3.GS.AI4.D.E5.W.EI4.BU.O2
Massive Attack	MI.IE1.S.IH3.GS.ER2.TI.IE4.K.E5
伍思凱	W.U3.S.IH1.K.AI3
Melanie Martinez	M.EI2.L.EI1.LI.IG4.M.A1.TI.I1.N.E5.S
Dawin	DU.U1.Y.IG3
黃耀明	HU.AG2.Y.AO4.MI.IG2
Ty Dolla $ign	T.AI1.D.OU1.L.A1.S.AI4.M
R3hab	GS.A2.SH.IH4.Y.I4.H.AI3.B.E5
James Blunt	JI.IE4.M.S.IH5.BU.U2.L.AN4.T.E5
Einstein Baby Lullaby Academy	GS.EI1.S.IH5.DI.AN1.BI.EI1.BI.I3.L.A1.L.E4.B.AI1.GS.EI2.K.E5.D.EI1.MI.I3
生命河靈糧堂	SH.EG1.MI.IG4.H.E2.LI.IG2.LI.AG2.T.AG2
東京事變	DU.OG1.JI.IG1.SH.IH4.BI.AN4
林強	LI.IN2.QI.AG2
Bryson Tiller	B.L.AI1.S.EN3.TI.I1.L.ER3
Jhené Aiko	ZH.IH3.N.EI1.GS.AI4.K.OU3
[Alexandros]	GS.A1.L.EI4.XI.AN1.ZHU.O1.S.IH5
小野麗莎	XI.AO2.Y.IE3.LI.I4.SH.A1
RELAX WORLD	W.EI4.L.AI4.K.E5.S.W.O4.R.D.E5
First Aid Kit	B.A3.S.IH5.D.E5.GS.EI4.D.E5.TI.I4.T
Bob Marley	B.AO2.BI.EN4.M.A1.R.EN3
Phillip Phillips	F.I1.LI.I3.P.F.I4.LI.I3.P.E5.S.IH5
Ella Vos	GS.EI2.L.A1.P.OU4.S
Cafe Music BGM channel	K.A3.F.EI4.MI.OU1.XI.I3.K.BI.I1.JI.I1.GS.EI4.M.QI.AN1.N.OU3
Roy Kim	RU.O4.Y.I5.K.I4.M
BØRNS	W.O3.R.EN4.S.IH5
SILENT SIREN	S.AI1.L.EN3.S.AI1.RU.UN4
Diddy - Dirty Money	DI.I1.DI.I3.D.EI1.TI.I1.M.A1.NI.I3
亞細亞功夫世代	Y.A4.XI.I4.Y.A4.GU.OG1.F.U1.SH.IH4.D.AI4
Mat Kearney	M.EI1.D.E5.K.EN1.NI.I3
Diego Frenkel	DI.IE2.G.OU3.F.EG4.K.OU3
家風兒童合唱團	JI.A1.F.EG1.GS.ER2.TU.OG2.H.E2.CH.AG4.TU.AN2
Oasis	GS.OU2.GS.A4.XI.I3.S
GENERATIONS from EXILE TRIBE	JI.AN3.D.E5.RU.EI4.XI.AO3.SH.IH4.F.AG1.Y.I4.S.AI4.Y.AO4.QU.IE4.F.EN3
Kodaline	K.OU1.D.E5.L.EN3
Regina Spektor	YU.YU2.JI.A1.N.A4.S.IH5.BI.EI4.T.ER3
Planetshakers	P.L.EI1.L.EI1.T.E5.XI.IE3.Y.AO1.G.E3.S.T
Sara Bareilles	XI.IE4.L.A1.BI.EI3.RU.EI1.LI.I3.S
林凡	LI.IN2.F.AN2
信	XI.IN4
Enya	GS.EI1.Y.A3
Christina Aguilera	GU.EI1.S.IH5.DI.I1.N.A4.GS.AN4.G.E1.LI.I2.ZH.EI1.N.A3
許茹芸	XU.YU3.RU.U2.YU.IN2
John Mayer	JI.AO2.M.EI4.ER3
GARNiDELiA	G.A1.NI.I3.D.E5.LI.I3.GS.A5
5566	W.U2.W.U3.LI.OU4.LI.OU4
AC/DC	GS.EI1.XI.I1.DI.I1.XI.I1
Lost Frequencies	L.AO3.S.IH5.T.AI4.F.I3.GU.EI3.XI.I4.S
Blur	B.L.ER4
宮閣	GU.OG1.G.E2
蘇慧倫	SU.U1.HU.EI4.LU.UN2
Gryffin	GU.EI2.F.IG3
黃鶯鶯	HU.AG2.Y.IG1.Y.IG1
純音樂	CHU.UN2.Y.IN1.YU.IE4
2Pac	TU.U1.P.A4.K.E5
鄧麗君	D.EG4.LI.I4.JU.IN1
阿桑	GS.A1.S.AG1
Annie Lennox	GS.EN1.NI.I3.L.EI1.N.E5.K.S
尹鍾信	Y.I1.ZHU.OG1.XI.IN4
Marty	M.A1.TI.I3
The Pig Family	Y.OU1.PI.I4.F.AI1.M.E3.LI.I3
Do As Infinity	DU.U4.GS.EI3.S.IH5.Y.IN3.F.I1.NI.I3.TI.I3
Cat Power	K.IE4.T.E5.P.AO4.ER3
ClariS	K.E5.L.A4.R.Y.I3.LI.IE4.S
The Cast of High School Musical	N.A4.T.AI2.S.IH5.T.AI4.GS.OU3.GU.U3.H.AI2.S.IH5.GU.O2.NI.AG2.XI.I3.K.OU3
麥浚龍	M.AI4.JU.IN4.LU.OG2
金布里克曼	JI.IN1.BU.U4.LI.I3.K.E4.M.AN4
冷漠	L.EG3.M.O4
CRAIG ARMSTRONG	K.L.EI1.K.XI.IE3.GS.A1.M.S.DU.AN3
Hélène Grimaud	H.E3.LI.AN1.N.A3.GU.U1.R.I4.M.O1.T.ER5
怕胖團	P.A4.P.AG4.TU.AN2
SEJEONG	XI.IE1.JI.OU4.M
2 Chainz	DU.U4.QI.A4.M.S.IH5
Beach House	BI.I4.QU.YU3.H.AO4.S.IH5
Paul Cardall	P.O1.K.A4.D.E5.GS.OU3
桑布伊	S.AG1.BU.U4.Y.I1
Samuel	SH.EN1.MU.U1.GS.EI2.GS.OU3
龍飄飄	LU.OG2.PI.AO1.PI.AO1
Blake Shelton	B.E5.L.EI4.K.E5.XI.AO1.T.EN3
炎亞綸	Y.AN2.Y.A3.LU.UN2
DJ OKAWARI	DI.I1.JI.IE1.GS.O4.K.A1.W.A1.LI.IG2
Air	GS.EI1.GS.ER3
The Cure	R.E4.K.IE4.W.O4.GS.ER3
連詩雅	LI.AN2.SH.IH1.Y.A3
The Notorious B.I.G.	YU.AN2.D.OU1.TU.U4.LYU.YU3.Y.IE3.S.IH5.BI.I1.GS.AI4.JI.IG4
Kenny Rogers	K.EN1.NI.I1.RU.A1.JU.IE3.S.IH5
Shayne Ward	XI.AN1.Y.AO1.F.ER3.D.E5
Echosmith	GS.EI1.K.OU1.S.IH5.MI.IE4.S.IH5
王儷婷	W.AG2.LI.I4.TI.IG2
ZHU	LI.I4.GS.EI4.QU.YU3.Y.OU1
It's	Y.I4.CH.IH5
MXM (BRANDNEWBOYS)	GS.EN1.GS.EI2.S.AN4.M.RU.EI1.LI.I3.Y.OU3.BU.O4.Y.IG3.Z.IH5
SCANDAL	S.IH5.DI.AN1.D.OU3
史嘉蕾.喬韓森	SH.IH3.JI.A1.L.EI3.QI.AO2.H.AN2.S.EN1
陳昇	CH.EN2.SH.EG1
Feist	F.AI4.S.T
Ryan Adams	RU.A4.GS.EN5.GS.EI1.D.E3.M.S.IH5
老王樂隊	L.AO3.W.AG2.YU.IE4.DU.EI4
Gym Class Heroes	JI.IE2.M.K.RU.U4.S.IH5.TI.IE1.R.OU3
糯米糰	NU.O4.MI.I3.TU.AN2
禅宗花园 按摩	CH.AN2.ZU.OG1.HU.A1.YU.AN2.GS.AN4.M.O2
ONE	W.AN3
Suede	SH.IH1.W.EI4.D.E5
Porter Robinson	HU.O2.K.E1.RU.A1.BI.IG3.SH.EG3
Amy Shark	GS.EI1.MI.I3.SH.A4.K.E5
Tyga	T.AI1.G.A3
麋先生	MI.I2.XI.AN1.SH.EG5
Girls' Generation-TTS	TU.O1.S.IH5.ZH.EN1.D.E5.RU.EI4.XI.AN1.JI.I2.JI.IE3
潘嘉麗	P.AN1.JI.A1.LI.I4
HONNE	HU.OG1.N.EI4
Take That	T.AI2.K.LI.IE4.T.ER5
梁耀燮	LI.AG2.Y.AO4.XI.IE4
Super Simple Learning	SU.U1.K.E5.XI.IG1.HU.O2.R.EN2.Y.I3
Kanye West	K.A1.NI.I3.Y.A3.W.AI4.S.IH5
汪峰	W.AG1.F.EG1
趙傳	ZH.AO4.CHU.AN2
翁立友	W.EG1.LI.I4.Y.OU3
Music for Baby	NI.OU1.XI.I4.F.U5.BI.EI1.BI.I3
MONGOL800	M.AN2.GU.OG1.GS.EI2.F.GS.OU1.W.U3
Noble Band	N.OU4.BU.U4.BI.EI4.L
A R I Z O N A	GS.EI2.GS.A4.R.GS.AI4.Z.I4.GS.OU4.GS.EN2.GS.EI2
童安格	TU.OG2.GS.AN1.G.E2
DREAMCATCHER	JU.IE2.Y.IN4.K.EI4.QU.YU5.GS.ER3
布拉格愛樂樂團	BU.U4.L.A1.G.E2.GS.AI4.YU.IE4.YU.IE4.TU.AN2
朴寶藍	P.U2.B.AO3.L.AN2
Marvin Gaye	M.A1.BI.IG1.G.EI3
徐仁國	XU.YU2.R.EN2.GU.O2
成始璄	QI.OG2.XU.YU1.JI.IN3
Eric Clapton	GS.EI1.R.I3.K.E5.K.L.A4.F.U5.TU.UN2
倖田來未	XI.IG4.TI.AN2.L.AI2.W.EI4
何韻詩	H.E2.YU.IN4.SH.IH1
史汀	SH.IH3.TI.IG1
Tinie Tempah	TI.I1.MI.I3.QI.AN1.P.A4
VIXX	BI.I1.GS.AI4.GS.AI4.K.E5.S.IH5.B.ER4.S
嬰兒 睡覺	Y.IG1.GS.ER2.SHU.EI4.JI.AO4
Yu Takahashi	Y.OU2.T.AG2.K.A1.H.A1.XI.I3
offonoff	GS.OU4.F.U5.GS.AG3.GS.A4.F.U5
林育群	LI.IN2.YU.YU4.QU.IN2
The Beatles	L.E4.BI.I1.T.OU3.S
M83	GS.EI4.M.B.A1.S.AN1
圭賢	GU.EI1.XI.AN2
The Pussycat Dolls	N.E5.P.U1.XI.I1.K.EI4.D.E5.D.OU4.S.IH5
Damien Rice	D.AN1.NI.I4.ER3.RU.AI4.S
柯有倫	K.E1.Y.OU3.LU.UN2
倫敦交響樂團	LU.UN2.DU.UN1.JI.AO1.XI.AG3.YU.IE4.TU.AN2
維也納愛樂樂團	W.EI2.Y.IE3.N.A4.GS.AI4.YU.IE4.YU.IE4.TU.AN1
George Ezra	JI.OU4.JU.YU3.EI1.S.IH5.GS.A5
許冠傑	XU.YU3.GU.AN4.JI.IE2
柏林愛樂樂團	BU.O2.LI.IN2.GS.AI4.YU.IE4.YU.IE4.TU.AN2
Chris Brown	K.R.I1.S.IH5.BU.OU3
KIDS BOSSA	K.IE1.S.IH5.BU.O1.S.A3
Whitney Houston	W.EN4.NI.I4.K.YU4.S.IH5.T.EN3
Riccardo Muti	R.I3.K.A4.D.OU3.M.OU1.TI.I3
BESTie	BI.I1.Y.I1.GS.EI2.S.IH5.T.AI4
Glen Hansard	G.EN1.GS.AN1.H.AN2.S.A3.D.E5
NELL	N.EI4.GS.OU3
黃大煒	HU.AG2.D.A4.W.EI3
Lauryn Hill	LU.O1.R.EN2.H.IH4.GS.OU3
Matchbox Twenty	M.EI2.QU.YU5.B.A4.K.S.QU.AN1.TI.I3
Original London Cast	GS.OU1.R.I4.JU.IN1.GS.OU3.N.AN2.D.AG1.K.A3.S.IH5.D.E5
金莎	JI.IG1.SH.A1
Europe	Y.OU1.RU.O3.P.E5
许仁杰	XU.YU3.R.EN2.JI.IE2
辻井伸行	SH.IH2.JI.IG3.SH.EG1.H.AG2
龍俊亨	LU.OG2.JU.IN4.H.EG1
安那	GS.AN1.N.A4
陳彥允	CH.EN2.Y.AN4.YU.IN3
M2M	GS.EN1.TU.U1.GS.EI4.M
Akira Kosemura	B.A1.K.I1.D.E5.GS.A1.K.OU1.SHU.EI2.MU.U1.L.A3
帝國之子	DI.I4.GU.O2.ZH.IH1.Z.IH3
鄭晟河	ZH.EG4.SH.EG4.H.E2
Mr. Big	MI.I1.S.T.ER5.BI.EI4.K.E5
李心潔	LI.I3.XI.IN1.JI.IE2
孔令奇	KU.OG3.LI.IG4.QI.I2
黃子韜	HU.AG2.Z.IH3.T.AO1
Ms.OOJA	BI.I1.S.IH5.BU.O4.GS.ER2.JI.A1
Anne-Sophie Mutter	GS.EI4.N.S.OU1.F.I3.M.A1.T.ER3
張艾嘉	ZH.AG1.GS.AI4.JI.A1
Baekhyun	BI.IE4.K.PI.AO4
娃娃	W.A2.W.A1
劉力揚	LI.OU2.LI.I4.Y.AG2
DAY6	D.EI1.LI.OU4
Deuter	DI.OU1.TI.IE4.ER3
金泰亨	JI.IN1.T.AI4.H.EG1
François-Joël Thiollier	GS.EI1.N.AO3.SH.IH2.ZHU.EI1.W.EI4.W.AN1.SH.IH2.LI.OU1.LI.I4.GS.ER3
克里斯泰爾	K.E4.LI.I3.S.IH1.T.AI4.GS.ER3
Maria João Pires	M.AN2.R.E4.JI.OU2.P.AI1.RU.EI3.S.IH5
鄭中基	ZH.EG4.ZHU.OG1.JI.I1
海飛茲	H.AI3.F.EI1.Z.IH1
Nas	N.A4.S.IH5
以莉·高露	Y.I3.LI.I4.G.AO1.LU.U4
Selena Gomez & The Scene	SH.E2.LI.I4.N.A3.D.OU1.M.EI4.F.U5.GS.EI1.M.D.E5.XI.IN4
Chet Baker	QI.AN2.F.EI1.T.ER3
劉明湘	LI.OU2.MI.IG2.XI.AG1
薛凱琪	XU.IE1.K.AI3.QI.I2
A Great Big World	GS.E4.K.RU.EI1.BI.I1.K.W.O3.R.D
Kungs	K.L.EN4.S.IH5
Faye 飛	F.EI1
巫啟賢	W.U1.QI.I3.XI.AN2
羊毛和花	Y.AG2.M.AO2.H.E2.HU.A1
星星樂團	XI.IG1.XI.IG1.YU.IE4.TU.AN2
杜德偉	DU.U4.D.E2.W.EI3
Jessie Ware	JI.IE1.XI.I1.W.EI4
Ella Fitzgerald	GS.EI1.L.A4.F.EI1.S.IH5.JI.IE1.R.OU3
Ohashi Trio	GS.A1.H.A1.XU.YU4.QU.YU1.Y.OU3
Hillsong Worship	H.I1.W.U1.SU.OG4.W.O4.XU.YU5.K.E5
The Calling	R.E5.KU.O1.LI.IG2
李宇春	LI.I2.YU.YU3.CHU.UN1
Super Simple Songs	SU.U1.P.E3.S.EN1.F.OU3.SU.OG4
大 自然 的 聲音	D.A4.Z.IH4.R.AN2.D.E5.SH.EG1.Y.IN1
Alex Goot	GS.A1.L.E5.S.IH5.GU.U4.T
Jack Johnson	JI.IE4.K.E5.JI.AG1.S.EN3
U2	Y.OU1.TU.U4
Vaults	W.O4.T.E5.S.IH5
Air Supply	GS.EI1.GS.ER2.S.E5.P.L.AI4
Marian Hill	M.EI1.R.I5.GS.EN3.H.Y.OU4
Jessie Reyez	JI.IE4.S.IH3.RU.EI1.GS.E5.S
西村由紀江	XI.I1.CU.UN1.Y.OU2.JI.I4.JI.AG1
聶琳	NI.IE4.LI.IN2
